"","Var1","Freq"
"1","International",1
"2","London",22
"3","Manchester",23
"4","Sheffield",2
"5","South Lanarkshire",2
"6","Warrington",1
"7","Barking and Dagenham",22
"8","Barnet",22
"9","Bexley",22
"10","Brent",22
"11","Bromley",22
"12","Camden",22
"13","Croydon",22
"14","Ealing",22
"15","Enfield",22
"16","Greenwich",22
"17","Hackney",22
"18","Hammersmith and Fulham",22
"19","Haringey",22
"20","Harrow",22
"21","Havering",22
"22","Hillingdon",22
"23","Hounslow",22
"24","Islington",22
"25","Kensington and Chelsea",22
"26","Kingston upon Thames",22
"27","Lambeth",22
"28","Lewisham",22
"29","Merton",22
"30","Newham",22
"31","Redbridge",22
"32","Richmond upon Thames",22
"33","Southwark",22
"34","Sutton",22
"35","Tower Hamlets",22
"36","Waltham Forest",22
"37","Wandsworth",22
"38","Westminster",22
