Row Labels,Total
E01004766,20
E01004767,25
E01004768,5
E01004769,4
E01004770,7
E01004771,12
E01004772,10
E01004773,3
E01004774,13
E01004775,20
E01004776,4
E01004777,18
E01004778,4
E01004779,10
E01004780,13
E01004781,32
E01004782,2
E01004783,13
E01004784,2
E01004785,20
E01004786,16
E01004787,30
E01004788,4
E01004789,12
E01004790,22
E01004791,3
E01004792,8
E01004793,23
E01004794,32
E01004795,19
E01004796,16
E01004797,22
E01004798,24
E01004799,18
E01004800,5
E01004801,56
E01004802,29
E01004803,3
E01004804,5
E01004805,4
E01004806,13
E01004807,4
E01004808,5
E01004809,15
E01004810,5
E01004811,29
E01004812,20
E01004813,18
E01004814,12
E01004815,27
E01004816,18
E01004817,142
E01004818,16
E01004819,5
E01004820,20
E01004822,26
E01004823,48
E01004824,15
E01004825,30
E01004826,17
E01004827,17
E01004828,14
E01004829,18
E01004830,17
E01004831,12
E01004832,14
E01004833,10
E01004834,10
E01004835,5
E01004836,6
E01004837,8
E01004838,17
E01004839,27
E01004840,13
E01004841,16
E01004842,4
E01004843,5
E01004844,3
E01004845,10
E01004846,16
E01004847,16
E01004848,106
E01004849,20
E01004850,18
E01004851,26
E01004852,13
E01004853,7
E01004854,7
E01004855,24
E01004856,24
E01004857,31
E01004858,33
E01004859,61
E01004860,34
E01004861,15
E01004862,28
E01004863,17
E01004864,10
E01004865,20
E01004866,20
E01004867,6
E01004868,20
E01004869,41
E01004870,46
E01004871,23
E01004872,31
E01004873,22
E01004874,10
E01004875,14
E01004876,23
E01004877,24
E01004878,11
E01004879,13
E01004880,6
E01004881,16
E01004882,10
E01004883,7
E01004885,3
E01004886,5
E01004887,10
E01004888,5
E01004889,15
E01004890,29
E01004891,7
E01004892,12
E01004893,7
E01004894,16
E01004895,12
E01004896,3
E01004897,7
E01004899,6
E01004900,2
E01004901,2
E01004902,45
E01004903,6
E01004904,11
E01004905,15
E01004906,23
E01004907,27
E01004908,4
E01004909,20
E01004910,10
E01004911,11
E01004912,23
E01004913,11
E01004914,5
E01004915,5
E01004916,11
E01004917,20
E01004918,6
E01004919,10
E01004920,12
E01004921,8
E01004922,10
E01004923,12
E01004924,14
E01004925,9
E01004926,13
E01004927,39
E01004928,33
E01004929,26
E01004930,9
E01004931,23
E01004932,23
E01004933,6
E01004934,16
E01004935,9
E01004936,11
E01004937,10
E01004938,19
E01004939,16
E01004940,6
E01004941,10
E01004942,21
E01004943,10
E01004944,11
E01004945,11
E01004946,12
E01004947,24
E01004948,44
E01004949,3
E01004950,3
E01004951,1
E01004952,6
E01004953,4
E01004954,13
E01004955,13
E01004956,21
E01004957,25
E01004958,21
E01004959,33
E01004960,21
E01004961,11
E01004962,5
E01004963,3
E01004964,12
E01004965,1
E01004966,4
E01004967,3
E01004968,9
E01004969,16
E01004970,10
E01004971,4
E01004972,7
E01004973,3
E01004974,12
E01004975,14
E01004976,14
E01004977,12
E01004978,12
E01004979,33
E01004980,31
E01004981,10
E01004982,4
E01004983,18
E01004984,3
E01004985,4
E01004986,10
E01004987,13
E01004988,9
E01004989,20
E01004990,5
E01004991,16
E01004992,10
E01004993,6
E01004994,24
E01004995,2
E01004996,15
E01004997,15
E01004998,14
E01004999,9
E01005000,7
E01005001,2
E01005002,6
E01005003,3
E01005004,20
E01005005,9
E01005006,9
E01005007,14
E01005008,43
E01005009,21
E01005010,6
E01005011,5
E01005012,25
E01005013,35
E01005014,20
E01005015,17
E01005016,7
E01005017,8
E01005018,6
E01005019,11
E01005020,1
E01005021,2
E01005022,9
E01005023,4
E01005024,117
E01005025,12
E01005026,11
E01005027,69
E01005028,22
E01005029,12
E01005030,20
E01005031,13
E01005032,20
E01005033,11
E01005034,17
E01005035,21
E01005036,33
E01005037,12
E01005038,2
E01005039,23
E01005040,18
E01005041,6
E01005042,16
E01005043,2
E01005044,10
E01005045,21
E01005046,5
E01005047,10
E01005048,9
E01005049,7
E01005050,5
E01005051,7
E01005052,6
E01005053,4
E01005054,25
E01005055,4
E01005056,3
E01005057,6
E01005058,5
E01005059,11
E01005060,9
E01005061,28
E01005062,94
E01005063,18
E01005065,75
E01005066,18
E01005067,20
E01005068,13
E01005069,7
E01005070,26
E01005071,6
E01005072,21
E01005073,17
E01005074,27
E01005075,32
E01005076,14
E01005077,34
E01005078,14
E01005079,13
E01005081,18
E01005082,11
E01005083,7
E01005084,21
E01005085,12
E01005086,19
E01005087,33
E01005088,14
E01005089,22
E01005090,30
E01005091,18
E01005092,39
E01005093,25
E01005094,29
E01005097,18
E01005098,34
E01005099,41
E01005100,25
E01005101,20
E01005102,6
E01005103,23
E01005104,15
E01005105,30
E01005106,21
E01005107,25
E01005108,56
E01005111,12
E01005112,10
E01005113,17
E01005114,6
E01005115,19
E01005116,12
E01005117,51
E01005118,18
E01005119,25
E01005120,21
E01005121,19
E01005122,13
E01005123,21
E01005124,13
E01005125,25
E01005126,10
E01005128,40
E01005129,23
E01005130,10
E01005132,25
E01005133,37
E01005135,32
E01005136,23
E01005138,27
E01005139,12
E01005140,29
E01005141,45
E01005142,37
E01005143,26
E01005145,18
E01005146,38
E01005147,60
E01005149,7
E01005150,41
E01005151,4
E01005152,5
E01005153,20
E01005154,17
E01005155,6
E01005156,7
E01005157,1
E01005158,32
E01005159,19
E01005160,144
E01005161,5
E01005162,6
E01005163,11
E01005164,30
E01005165,65
E01005166,26
E01005167,45
E01005168,22
E01005169,9
E01005170,3
E01005171,20
E01005172,31
E01005173,7
E01005174,8
E01005175,9
E01005176,26
E01005177,10
E01005178,16
E01005179,17
E01005180,19
E01005181,17
E01005182,17
E01005183,15
E01005184,29
E01005185,44
E01005186,36
E01005187,28
E01005188,18
E01005189,29
E01005190,34
E01005191,36
E01005192,19
E01005193,19
E01005194,21
E01005195,25
E01005196,21
E01005197,40
E01005198,9
E01005199,20
E01005200,29
E01005201,37
E01005202,52
E01005203,46
E01005205,80
E01005206,15
E01005207,43
E01005208,51
E01005209,52
E01005210,34
E01005212,49
E01005213,42
E01005214,38
E01005215,18
E01005216,19
E01005217,13
E01005218,15
E01005219,31
E01005220,25
E01005221,30
E01005222,23
E01005223,34
E01005224,38
E01005225,28
E01005226,29
E01005227,19
E01005228,43
E01005229,2
E01005230,22
E01005231,20
E01005232,34
E01005233,21
E01005234,27
E01005235,18
E01005236,48
E01005237,23
E01005238,14
E01005239,19
E01005240,34
E01005241,40
E01005242,28
E01005243,32
E01005244,36
E01005245,29
E01005246,14
E01005247,9
E01005248,2
E01005249,13
E01005250,38
E01005251,33
E01005252,16
E01005253,15
E01005254,10
E01005255,25
E01005256,51
E01005257,31
E01005258,27
E01005259,30
E01005260,6
E01005261,22
E01005262,15
E01005263,23
E01005264,19
E01005265,34
E01005266,40
E01005267,16
E01005268,17
E01005269,7
E01005270,20
E01005271,53
E01005272,21
E01005273,12
E01005274,23
E01005275,9
E01005276,37
E01005277,6
E01005278,9
E01005279,24
E01005280,16
E01005281,10
E01005282,11
E01005283,13
E01005284,64
E01005285,13
E01005286,31
E01005287,10
E01005288,34
E01005289,14
E01005290,22
E01005291,61
E01005292,12
E01005293,8
E01005294,14
E01005295,18
E01005296,15
E01005297,17
E01005298,10
E01005299,12
E01005300,8
E01005301,17
E01005302,24
E01005304,14
E01005305,9
E01005306,8
E01005307,10
E01005308,10
E01005309,18
E01005310,12
E01005311,14
E01005312,33
E01005313,7
E01005314,13
E01005315,13
E01005316,145
E01005317,17
E01005318,14
E01005319,20
E01005320,22
E01005321,26
E01005322,24
E01005323,14
E01005324,8
E01005325,19
E01005326,27
E01005327,22
E01005328,26
E01005329,1
E01005330,18
E01005331,21
E01005332,36
E01005333,3
E01005334,1
E01005335,7
E01005336,11
E01005337,23
E01005338,51
E01005339,9
E01005340,17
E01005341,10
E01005342,20
E01005343,19
E01005344,40
E01005345,8
E01005346,16
E01005347,13
E01005348,13
E01005349,30
E01005350,110
E01005351,21
E01005352,24
E01005353,43
E01005354,39
E01005355,6
E01005356,10
E01005357,2
E01005358,29
E01005359,10
E01005360,15
E01005361,11
E01005362,4
E01005363,20
E01005364,7
E01005365,3
E01005366,18
E01005367,12
E01005368,26
E01005369,25
E01005370,23
E01005371,9
E01005372,16
E01005373,3
E01005374,7
E01005375,5
E01005376,24
E01005377,33
E01005378,17
E01005379,11
E01005380,10
E01005381,13
E01005382,22
E01005383,29
E01005386,28
E01005387,10
E01005388,11
E01005389,36
E01005390,12
E01005391,15
E01005392,48
E01005393,26
E01005394,23
E01005395,3
E01005396,11
E01005397,12
E01005398,12
E01005399,4
E01005400,27
E01005401,3
E01005402,14
E01005403,10
E01005406,7
E01005407,5
E01005408,8
E01005409,13
E01005410,2
E01005411,3
E01005412,9
E01005413,10
E01005414,11
E01005415,7
E01005416,9
E01005417,8
E01005418,5
E01005419,8
E01005420,8
E01005421,40
E01005422,15
E01005427,23
E01005428,41
E01005429,15
E01005430,16
E01005431,13
E01005432,31
E01005433,79
E01005434,160
E01005435,17
E01005436,11
E01005437,17
E01005438,37
E01005439,8
E01005440,18
E01005441,12
E01005442,2
E01005443,8
E01005444,10
E01005445,18
E01005446,15
E01005447,57
E01005448,25
E01005449,17
E01005450,27
E01005451,13
E01005452,6
E01005453,3
E01005454,7
E01005455,9
E01005456,24
E01005459,23
E01005460,25
E01005461,19
E01005462,13
E01005463,8
E01005464,16
E01005465,19
E01005466,50
E01005467,23
E01005468,11
E01005469,17
E01005470,9
E01005471,30
E01005472,21
E01005473,25
E01005474,11
E01005475,24
E01005476,11
E01005477,34
E01005478,15
E01005479,25
E01005480,35
E01005481,12
E01005482,196
E01005483,15
E01005484,73
E01005485,57
E01005486,13
E01005487,37
E01005488,5
E01005489,13
E01005490,15
E01005491,15
E01005492,13
E01005493,13
E01005494,29
E01005495,18
E01005496,15
E01005497,14
E01005498,8
E01005499,19
E01005500,11
E01005501,73
